1|Incheon<1:4|Dongincheon>
1|Dongincheon<1:4|Incheon,1:2|Dowon>
1|Dowon<1:2|Dongincheon,1:3|Jemulpo>
1|Jemulpo<1:3|Dowon,1:2|Dohwa>
1|Dohwa<1:2|Jemulpo,1:2|Juan>
1|Juan<1:2|Dohwa,1:2|Ganseok>
1|Ganseok<1:2|Juan,1:3|Dongam>
1|Dongam<1:3|Ganseok,1:3|Baegun>
1|Baegun<1:3|Dongam,1:3|Bupyeong>
1|Bupyeong<1:3|Baegun,1:3|Bugae>
1|Bugae<1:3|Bupyeong,1:2|Songnae>
1|Songnae<1:2|Bugae,1:2|Jung-dong>
1|Jung-dong<1:2|Songnae,1:3|Bucheon>
1|Bucheon<1:3|Jung-dong,1:2|Sosa>
1|Sosa<1:2|Bucheon,1:3|Yeokgok>
1|Yeokgok<1:3|Sosa,1:2|Onsu>
1|Onsu<1:2|Yeokgok,1:3|Oryu-dong>
1|Oryu-dong<1:3|Onsu,1:3|Gaebong>
1|Gaebong<1:3|Oryu-dong,1:2|Guil>
1|Guil<1:2|Gaebong,1:3|Guro>
1|Guro<1:3|Guil,1:5|Gasan Digital Complex,1:2|Sindorim>
1|Gasan Digital Complex<1:5|Guro,1:3|Doksan>
1|Doksan<1:3|Gasan Digital Complex,1:2|Siheung>
1|Siheung<1:2|Doksan,1:5|Gwangmyeong,1:3|Seoksu>
1|Gwangmyeong<1:5|Siheung>
1|Seoksu<1:3|Siheung,1:3|Gwanak>
1|Gwanak<1:3|Seoksu,1:3|Anyang>
1|Anyang<1:3|Gwanak,1:3|Myeonghak>
1|Myeonghak<1:3|Anyang,1:3|Geumjeong>
1|Geumjeong<1:3|Myeonghak,1:3|Gunpo>
1|Gunpo<1:3|Geumjeong,1:6|Uiwang>
1|Uiwang<1:6|Gunpo,1:4|Sungkyunkwan University>
1|Sungkyunkwan University<1:4|Uiwang,1:4|Hwaseo>
1|Hwaseo<1:4|Sungkyunkwan University,1:3|Suwon>
1|Suwon<1:3|Hwaseo,1:4|Seryu>
1|Seryu<1:4|Suwon,1:4|Byeongjeom>
1|Byeongjeom<1:4|Seryu,1:3|Sema>
1|Sema<1:3|Byeongjeom,1:3|Osan College>
1|Osan College<1:3|Sema,1:4|Osan>
1|Osan<1:4|Osan College,1:4|Jinwi>
1|Jinwi<1:4|Osan,1:4|Songtan>
1|Songtan<1:4|Jinwi,1:3|Seojeong-ri>
1|Seojeong-ri<1:3|Songtan,1:5|Jije>
1|Jije<1:5|Seojeong-ri,1:5|Pyeongtaek>
1|Pyeongtaek<1:5|Jije,1:8|Jiksan>
1|Jiksan<1:8|Pyeongtaek,1:5|Seonghwan>
1|Seonghwan<1:5|Jiksan,1:5|Dujeong>
1|Dujeong<1:5|Seonghwan,1:4|Cheonan>
1|Cheonan<1:4|Dujeong>
1|Sindorim<1:2|Guro,1:3|Yeongdeungpo>
1|Yeongdeungpo<1:3|Sindorim,1:3|Singil>
1|Singil<1:3|Yeongdeungpo,1:2|Daebang>
1|Daebang<1:2|Singil,1:3|Noryangjin>
1|Noryangjin<1:3|Daebang,1:4|Yongsan>
1|Yongsan<1:4|Noryangjin,1:3|Namyeong>
1|Namyeong<1:3|Yongsan,1:3|Seoul Station>
1|Seoul Station<1:3|Namyeong,1:2|City Hall>
1|City Hall<1:2|Seoul Station,1:3|Jonggak>
1|Jonggak<1:3|City Hall,1:2|Jongno 3(sam)-ga>
1|Jongno 3(sam)-ga<1:2|Jonggak,1:2|Jongno 5(o)-ga>
1|Jongno 5(o)-ga<1:2|Jongno 3(sam)-ga,1:2|Dongdaemun>
1|Dongdaemun<1:2|Jongno 5(o)-ga,1:2|Dongmyo>
1|Dongmyo<1:2|Dongdaemun,1:2|Sinseol-dong>
1|Sinseol-dong<1:2|Dongmyo,1:2|Jegi-dong>
1|Jegi-dong<1:2|Sinseol-dong,1:2|Cheongnyangni(Underground)>
1|Cheongnyangni(Underground)<1:2|Jegi-dong,1:3|Hoegi>
1|Hoegi<1:3|Cheongnyangni(Underground),1:2|Hankuk University of Foreign Studies>
1|Hankuk University of Foreign Studies<1:2|Hoegi,1:2|Sinimun>
1|Sinimun<1:2|Hankuk University of Foreign Studies,1:2|Seokgye>
1|Seokgye<1:2|Sinimun,1:3|Seongbuk>
1|Seongbuk<1:3|Seokgye,1:3|Wolgye>
1|Wolgye<1:3|Seongbuk,1:3|Nokcheon>
1|Nokcheon<1:3|Wolgye,1:2|Changdong>
1|Changdong<1:2|Nokcheon,1:3|Banghak>
1|Banghak<1:3|Changdong,1:2|Dobong>
1|Dobong<1:2|Banghak,1:2|Dobongsan>
1|Dobongsan<1:2|Dobong,1:3|Mangwolsa>
1|Mangwolsa<1:3|Dobongsan,1:2|Hoeryong>
1|Hoeryong<1:2|Mangwolsa,1:3|Uijeongbu>
1|Uijeongbu<1:3|Hoeryong,1:3|Ganeung>
1|Ganeung<1:3|Uijeongbu,1:2|Nogyang>
1|Nogyang<1:2|Ganeung,1:3|Yangju>
1|Yangju<1:3|Nogyang,1:6|Deokgye>
1|Deokgye<1:6|Yangju,1:4|Deokjeong>
1|Deokjeong<1:4|Deokgye,1:6|Jihaeng>
1|Jihaeng<1:6|Deokjeong,1:2|Dongducheonjungang>
1|Dongducheonjungang<1:2|Jihaeng,1:3|Bosan>
1|Bosan<1:3|Dongducheonjungang,1:3|Dongducheon>
1|Dongducheon<1:3|Bosan,1:4|Soyosan>
1|Soyosan<1:4|Dongducheon>
2|Kkachisan<2:3|Sinjeongnegeori>
2|Sinjeongnegeori<2:3|Kkachisan,2:4|Yangcheon-gu-Office>
2|Yangcheon-gu-Office<2:4|Sinjeongnegeori,2:3|Dorimcheon>
2|Dorimcheon<2:3|Yangcheon-gu-Office,2:2|Sindorim>
2|Sindorim<2:2|Dorimcheon,2:3|Mullae,2:3|Daerim>
2|Daerim<2:3|Sindorim,2:2|Guro Digital Complex>
2|Guro Digital Complex<2:2|Daerim,2:2|Sindaebang>
2|Sindaebang<2:2|Guro Digital Complex,2:3|Sillim>
2|Sillim<2:3|Sindaebang,2:2|Bongcheon>
2|Bongcheon<2:2|Sillim,2:2|Seoul Nat'l University>
2|Seoul Nat'l University<2:2|Bongcheon,2:2|Nakseongdae>
2|Nakseongdae<2:2|Seoul Nat'l University,2:3|Sadang>
2|Sadang<2:3|Nakseongdae,2:3|Bangbae>
2|Bangbae<2:3|Sadang,2:3|Seocho>
2|Seocho<2:3|Bangbae,2:2|Seoul Nat'l University of Education>
2|Seoul Nat'l University of Education<2:2|Seocho,2:2|Gangnam>
2|Gangnam<2:2|Seoul Nat'l University of Education,2:2|Yeoksam>
2|Yeoksam<2:2|Gangnam,2:3|Seolleung>
2|Seolleung<2:3|Yeoksam,2:2|Samseong>
2|Samseong<2:2|Seolleung,2:2|Sports Complex>
2|Sports Complex<2:2|Samseong,2:2|Sincheon>
2|Sincheon<2:2|Sports Complex,2:2|Jamsil>
2|Jamsil<2:2|Sincheon,2:2|Seongnae>
2|Seongnae<2:2|Jamsil,2:2|Gangbyeon>
2|Gangbyeon<2:2|Seongnae,2:2|Guui>
2|Guui<2:2|Gangbyeon,2:3|Konkuk University>
2|Konkuk University<2:3|Guui,2:3|Seongsu>
2|Seongsu<2:3|Konkuk University,2:4|Yongdap,2:2|Ttukseom>
2|Yongdap<2:4|Seongsu,2:2|Sindap>
2|Sindap<2:2|Yongdap,2:2|Yongdu>
2|Yongdu<2:2|Sindap,2:2|Sinseol-dong>
2|Sinseol-dong<2:2|Yongdu>
2|Ttukseom<2:2|Seongsu,2:2|Hanyang University>
2|Hanyang University<2:2|Ttukseom,2:2|Wangsimni>
2|Wangsimni<2:2|Hanyang University,2:2|Sangwangsimni>
2|Sangwangsimni<2:2|Wangsimni,2:2|Sindang>
2|Sindang<2:2|Sangwangsimni,2:2|Dongdaemun Stadium>
2|Dongdaemun Stadium<2:2|Sindang,2:2|Euljiro 4(sa)-ga>
2|Euljiro 4(sa)-ga<2:2|Dongdaemun Stadium,2:2|Euljiro 3(sam)-ga>
2|Euljiro 3(sam)-ga<2:2|Euljiro 4(sa)-ga,2:2|Euljiro 1(il)-ga>
2|Euljiro 1(il)-ga<2:2|Euljiro 3(sam)-ga,2:2|City Hall>
2|City Hall<2:2|Euljiro 1(il)-ga,2:2|Chungjeongno>
2|Chungjeongno<2:2|City Hall,2:2|Ahyeon>
2|Ahyeon<2:2|Chungjeongno,2:2|Ewha Womans University>
2|Ewha Womans University<2:2|Ahyeon,2:2|Sinchon(underground)>
2|Sinchon(underground)<2:2|Ewha Womans University,2:3|Hongik University>
2|Hongik University<2:3|Sinchon(underground),2:2|Hapjeong>
2|Hapjeong<2:2|Hongik University,2:3|Dangsan>
2|Dangsan<2:3|Hapjeong,2:2|Yeongdeungpo-gu Office>
2|Yeongdeungpo-gu Office<2:2|Dangsan,2:2|Mullae>
2|Mullae<2:2|Yeongdeungpo-gu Office,2:3|Sindorim>
3|Daehwa<3:3|Juyeop>
3|Juyeop<3:3|Daehwa,3:3|Jeongbalsan>
3|Jeongbalsan<3:3|Juyeop,3:2|Madu>
3|Madu<3:2|Jeongbalsan,3:3|Baekseok>
3|Baekseok<3:3|Madu,3:4|Daegok>
3|Daegok<3:4|Baekseok,3:3|Hwajeong>
3|Hwajeong<3:3|Daegok,3:4|Wondang>
3|Wondang<3:4|Hwajeong,3:7|Samsong>
3|Samsong<3:7|Wondang,3:3|Jichuk>
3|Jichuk<3:3|Samsong,3:4|Gupabal>
3|Gupabal<3:4|Jichuk,3:3|Yeonsinnae>
3|Yeonsinnae<3:3|Gupabal,3:2|Bulgwang>
3|Bulgwang<3:2|Yeonsinnae,3:2|Nokbeon>
3|Nokbeon<3:2|Bulgwang,3:3|Hongje>
3|Hongje<3:3|Nokbeon,3:2|Muakjae>
3|Muakjae<3:2|Hongje,3:2|Dongrimmun>
3|Dongrimmun<3:2|Muakjae,3:3|Gyeongbokgung>
3|Gyeongbokgung<3:3|Dongrimmun,3:2|Anguk>
3|Anguk<3:2|Gyeongbokgung,3:2|Jongno 3(sam)-ga>
3|Jongno 3(sam)-ga<3:2|Anguk,3:2|Euljiro 3(sam)-ga>
3|Euljiro 3(sam)-ga<3:2|Jongno 3(sam)-ga,3:2|Chungmuro>
3|Chungmuro<3:2|Euljiro 3(sam)-ga,3:2|Dongguk University>
3|Dongguk University<3:2|Chungmuro,3:2|Yaksu>
3|Yaksu<3:2|Dongguk University,3:2|Geumho>
3|Geumho<3:2|Yaksu,3:2|Oksu>
3|Oksu<3:2|Geumho,3:3|Apgujeong>
3|Apgujeong<3:3|Oksu,3:3|Sinsa>
3|Sinsa<3:3|Apgujeong,3:2|Jamwon>
3|Jamwon<3:2|Sinsa,3:2|Express Bus Terminal>
3|Express Bus Terminal<3:2|Jamwon,3:3|Seoul Nat'l University of Education>
3|Seoul Nat'l University of Education<3:3|Express Bus Terminal,3:2|Nambu Bus Terminal>
3|Nambu Bus Terminal<3:2|Seoul Nat'l University of Education,3:3|Yangjae>
3|Yangjae<3:3|Nambu Bus Terminal,3:3|Maebong>
3|Maebong<3:3|Yangjae,3:2|Dogok>
3|Dogok<3:2|Maebong,3:2|Daechi>
3|Daechi<3:2|Dogok,3:2|Hangnyeoul>
3|Hangnyeoul<3:2|Daechi,3:2|Daecheong>
3|Daecheong<3:2|Hangnyeoul,3:2|Irwon>
3|Irwon<3:2|Daecheong,3:3|Suseo>
3|Suseo<3:3|Irwon>
4|Danggogae<4:2|Sanggye>
4|Sanggye<4:2|Danggogae,4:2|Nowon>
4|Nowon<4:2|Sanggye,4:3|Changdong>
4|Changdong<4:3|Nowon,4:2|Ssangmun>
4|Ssangmun<4:2|Changdong,4:3|Suyu>
4|Suyu<4:3|Ssangmun,4:2|Mia>
4|Mia<4:2|Suyu,4:3|Miasamgeori>
4|Miasamgeori<4:3|Mia,4:2|Gireum>
4|Gireum<4:2|Miasamgeori,4:3|Sungshin Women's University>
4|Sungshin Women's University<4:3|Gireum,4:2|Hansung University>
4|Hansung University<4:2|Sungshin Women's University,4:2|Hyehwa>
4|Hyehwa<4:2|Hansung University,4:3|Dongdaemun>
4|Dongdaemun<4:3|Hyehwa,4:2|Dongdaemun Stadium>
4|Dongdaemun Stadium<4:2|Dongdaemun,4:3|Chungmuro>
4|Chungmuro<4:3|Dongdaemun Stadium,4:2|Myeong-dong>
4|Myeong-dong<4:2|Chungmuro,4:2|Hoehyeon>
4|Hoehyeon<4:2|Myeong-dong,4:2|Seoul Station>
4|Seoul Station<4:2|Hoehyeon,4:2|Sookmyung Women's University>
4|Sookmyung Women's University<4:2|Seoul Station,4:2|Samgakji>
4|Samgakji<4:2|Sookmyung Women's University,4:2|Sinyongsan>
4|Sinyongsan<4:2|Samgakji,4:2|Ichon>
4|Ichon<4:2|Sinyongsan,4:4|Dongjak>
4|Dongjak<4:4|Ichon,4:3|Isu>
4|Isu<4:3|Dongjak,4:2|Sadang>
4|Sadang<4:2|Isu,4:2|Namtaeryeong>
4|Namtaeryeong<4:2|Sadang,4:3|Seonbawi>
4|Seonbawi<4:3|Namtaeryeong,4:2|Seoul Racecource Paek>
